2020M01	469.8
2020M02	474.1
2020M03	475.2
2020M04	477.5
2020M05	480.1
2020M06	482.2
2020M07	482.9
2020M08	485.1
2020M09	487.0
2020M10	489.1
2020M11	489.3
2020M12	490.3
2021M01	490.0
2021M02	493.4
2021M03	495.8
2021M04	499.3
2021M05	501.4
2021M06	502.7
2021M07	503.5
2021M08	505.8
2021M09	508.2
2021M10	511.2
2021M11	513.0
2021M12	515.3
2022M01	517.9
2022M02	523.9
2022M03	528.8
2022M04	535.4
2022M05	539.5
2022M06	547.1
2022M07	553.5
2022M08	555.1
2022M09	555.6
2022M10	559.3
2022M11	560.9
2022M12	564.6
2023M01	569.4
2023M02	577.3
2023M03	580.7
2023M04	588.3
2023M05	590.6
2023M06	595.6
2023M07	595.8
2023M08	597.8
2023M09	599.9
